Enthalpy,Temperature,Humidity Ratio
-10,-12.95794761919713,1.2256035728687305
0,-5.74727737085041,2.321703276410193
10,0.32741666373897893,3.865759539411811
20,5.707575567644337,5.676894264439291
30,10.306148574175603,7.789958187425833
40,14.267100065940614,10.147150882842297
50,17.71454691628967,12.699215759670224
60,20.747924859101378,15.407042091065936
70,23.444694038010496,18.240394453799095
80,25.86480658301176,21.176032218822293
90,28.05484727836695,24.196012369009544
100,30.051334779352093,27.2863547549398
